upc (ean),price,OriginalPrice,availability,sku,title
0194895461326,69,230,2,1137827,Columbia Pike Lake Cropped Jacket - Women's Stone Green \u002F Black 2X
0194895545644,60,200,1,1266245,Columbia Pike Lake Cropped Jacket - Women's Stone Green \u002F Black S
0194895545651,60,200,3,1266276,Columbia Pike Lake Cropped Jacket - Women's Stone Green \u002F Black L
194905271815,19.99,40,3,951913,The North Face Aphrodite Capri 3.0 - Girls' Vanadis Grey XS
194905271983,19.99,40,3,951914,The North Face Aphrodite Capri 3.0 - Girls' Vanadis Grey S
194905270993,19.99,40,2,951915,The North Face Aphrodite Capri 3.0 - Girls' Vanadis Grey M
194905271228,19.99,40,4,951916,The North Face Aphrodite Capri 3.0 - Girls' Vanadis Grey L
194905270337,19.99,40,2,951919,The North Face Aphrodite Capri 3.0 - Girls' TNF Black XS
194905270504,19.99,40,6,951920,The North Face Aphrodite Capri 3.0 - Girls' TNF Black S
194905270665,19.99,40,5,951921,The North Face Aphrodite Capri 3.0 - Girls' TNF Black M
0196013427870,118,169,1,1097656,The North Face Freedom Triclimate Jacket Asphalt Grey S
0194894400982,15,50,1,1127683,Columbia Rain-Zilla Jacket - Girl's Red Hibiscus \u002F Coral Reef XXS
0194894401118,15,50,1,1127689,Columbia Rain-Zilla Jacket - Girl's Sea Wave \u002F Icy Morn XXS
0195978370115,45.5,65,2,1288338,Columbia Rain-Zilla Jacket - Girl's Vista Blue  XS
0195978370108,45.5,65,1,1288339,Columbia Rain-Zilla Jacket - Girl's Vista Blue  S
0195978370122,45.5,65,1,1288340,Columbia Rain-Zilla Jacket - Girl's Vista Blue  M
0195978370092,45.5,65,1,1290844,Columbia Rain-Zilla Jacket - Girl's Vista Blue XXS
0195978370146,45.5,65,0,1290845,Columbia Rain-Zilla Jacket - Girl's Vista Blue L
0195978370269,45.5,65,1,1290846,Columbia Rain-Zilla Jacket - Girl's Paisley Purple XXS
0195978370238,45.5,65,2,1290847,Columbia Rain-Zilla Jacket - Girl's Paisley Purple XS
0195978370221,45.5,65,0,1290848,Columbia Rain-Zilla Jacket - Girl's Paisley Purple S
0196013420000,104,149,3,1182154,The North Face Thermoball Hooded Jacket - Girls' Wasabi L
0196013419790,104,149,1,1182156,The North Face Thermoball Hooded Jacket - Girls' Wasabi S
0196013419905,104,149,1,1182157,The North Face Thermoball Hooded Jacket - Girls' Wasabi M
0196013420109,104,149,3,1182158,The North Face Thermoball Hooded Jacket - Girls' Wasabi XL
0196013420345,104,149,4,1182159,The North Face Thermoball Hooded Jacket - Girls' Black S
0196013420543,104,149,2,1182160,The North Face Thermoball Hooded Jacket - Girls' Black L
0196013409142,83,119,1,1155273,The North Face Freedom Insulated Jacket - Toddler Grey Winter 4T
0196013409227,83,119,0,1155274,The North Face Freedom Insulated Jacket - Toddler Grey Winter 5T
0196249469552,83,119,2,1155275,The North Face Freedom Insulated Jacket - Toddler Grey Winter 7T
0196013409302,83,119,1,1155276,The North Face Freedom Insulated Jacket - Toddler Grey Winter 6T
0196013409104,83,118.99,2,1245387,The North Face Freedom Insulated Jacket - Toddler Peak Purple Terrain Multi Print 4T
0196013409722,83,118.99,1,1245388,The North Face Freedom Insulated Jacket - Toddler Acoustic Blue Triangle Camo Print 4T
0196013409845,83,118.99,2,1245397,The North Face Freedom Insulated Jacket - Toddler Acoustic Blue Triangle Camo Print 5T
0196249469538,83,118.99,0,1245398,The North Face Freedom Insulated Jacket - Toddler Peak Purple Terrain Multi Print 7T
0196013409265,83.29,118.99,1,1245968,The North Face Freedom Insulated Jacket - Toddler Peak Purple Terrain Multi Print 6T
195437286094,53.99,108.95,1,921693,The North Face Reversible Mossbud Swirl Jacket - Girls' Peach Pink XXS
0196013429744,62,89,0,1082983,The North Face Reversible Perrito Hooded Jacket - Kids' Cameo Pink 2T
0196013429782,62,89,1,1082984,The North Face Reversible Perrito Hooded Jacket - Kids' Cameo Pink 3T
0196013429829,62,89,1,1082985,The North Face Reversible Perrito Hooded Jacket - Kids' Cameo Pink 4T
0196013429898,62,89,0,1082986,The North Face Reversible Perrito Hooded Jacket - Kids' Cameo Pink 5T
0196013429973,62,89,1,1082987,The North Face Reversible Perrito Hooded Jacket - Kids' Cameo Pink 6T
