upc (ean),price,OriginalPrice,availability,sku,title
1.94895E+11,48,160,3,1139945,Columbia Powder Lite II Full Zip Jacket - Women's City Grey S
1.94895E+11,48,160,4,1139946,Columbia Powder Lite II Full Zip Jacket - Women's City Grey M
1.94895E+11,48,160,1,1139947,Columbia Powder Lite II Full Zip Jacket - Women's City Grey XXL
1.94895E+11,48,160,2,1139948,Columbia Powder Lite II Full Zip Jacket - Women's City Grey L
1.94895E+11,48,160,0,1139949,Columbia Powder Lite II Full Zip Jacket - Women's Nocturnal M
1.94895E+11,48,160,0,1139950,Columbia Powder Lite II Full Zip Jacket - Women's Nocturnal S
1.94895E+11,48,160,1,1139952,Columbia Powder Lite II Full Zip Jacket - Women's Nocturnal L
1.94895E+11,48,160,2,1139953,Columbia Powder Lite II Full Zip Jacket - Women's Peach Blossom M
1.94895E+11,48,160,1,1139954,Columbia Powder Lite II Full Zip Jacket - Women's Peach Blossom XS
1.94895E+11,48,160,1,1139955,Columbia Powder Lite II Full Zip Jacket - Women's Peach Blossom L
8.87922E+11,22.5,75,1,1126372,Columbia Arch Cape III Jacket - Women's Orchid S
7.82519E+11,25.5,85,1,1180498,Kavu Hillrose Top - Women's Picture Perfect S
7.82519E+11,25.5,85,1,1180499,Kavu Hillrose Top - Women's Picture Perfect XL
7.82519E+11,25.5,85,1,1180500,Kavu Hillrose Top - Women's Picture Perfect XS
8.88667E+11,22.5,75,1,1127935,Columbia Shining Light II Vest - Women's Punch Pink XS
1.95718E+11,18,60,2,1144703,Roxy Afternoon Hike Pullover Hoodie - Women's Sprucetone XS
1.95718E+11,18,60,2,1144704,Roxy Afternoon Hike Pullover Hoodie - Women's Sprucetone S
1.94005E+11,13.5,45,1,1138284,Columbia Trek Graphic Crew Sweater - Women's Black XL
1.94004E+11,22.5,75,1,1138087,Columbia West Bend Fleece Crew Top - Women's Beach M
1.94004E+11,22.5,75,1,1138090,Columbia West Bend Fleece Crew Top - Women's Chalk \u002F Chalk Wolfscape M
1.94004E+11,22.5,75,0,1138092,Columbia West Bend Fleece Crew Top - Women's Chalk \u002F Chalk Wolfscape XS
1.94004E+11,22.5,75,0,1138093,Columbia West Bend Fleece Crew Top - Women's Chalk \u002F Chalk Wolfscape S
1.94004E+11,22.5,75,2,1138094,Columbia West Bend Fleece Crew Top - Women's Mineral Pink S
1.94005E+11,72,240,1,1137596,Columbia Alpine Diva II Insulated Jacket - Women's Bold Orange \u002F Bright Geranium L
1.94005E+11,72,240,1,1137598,Columbia Alpine Diva II Insulated Jacket - Women's Bold Orange \u002F Bright Geranium S
7.70297E+11,63,210,4,1254554,Liquid Activewear Golden Pullover Jacket - Men's GOLD\u002FCHRCL\u002FBLK XL
7.70297E+11,63,210,2,1271564,Liquid Activewear Golden Pullover Jacket - Men's GOLD\u002FCHRCL\u002FBLK M
7.70297E+11,63,210,4,1271565,Liquid Activewear Golden Pullover Jacket - Men's GOLD\u002FCHRCL\u002FBLK L
7.70297E+11,63,210,1,1293154,Liquid Activewear Golden Pullover Jacket - Men's Black Charcoal Black M
7.70297E+11,63,210,4,1293155,Liquid Activewear Golden Pullover Jacket - Men's Black Charcoal Black L
1.96134E+11,17.4,58,1,1092762,Volcom Earth Tripper Windbreaker II Jacket - Women's Espresso XS
1.96134E+11,17.4,58,1,1092763,Volcom Earth Tripper Windbreaker II Jacket - Women's Espresso S
1.96134E+11,17.4,58,0,1092764,Volcom Earth Tripper Windbreaker II Jacket - Women's Espresso M
1.96134E+11,17.4,58,2,1092765,Volcom Earth Tripper Windbreaker II Jacket - Women's Espresso L
1.96134E+11,65,65,1,1312059,Volcom Earth Tripper Windbreaker II Jacket - Women's Sage XS
1.96134E+11,65,65,9,1312060,Volcom Earth Tripper Windbreaker II Jacket - Women's Sage S
1.96134E+11,65,65,7,1312061,Volcom Earth Tripper Windbreaker II Jacket - Women's Sage M
1.96134E+11,65,65,7,1312062,Volcom Earth Tripper Windbreaker II Jacket - Women's Sage L
8.40057E+11,10.8,36,0,1160801,Coal The Yukon Cable Knit Wool Beanie Black One Size
1.95719E+11,21,70,5,1124518,Roxy Shoreside Oversized Hoodie - Women's Toasted Nut XS
1.95719E+11,21,70,5,1124519,Roxy Shoreside Oversized Hoodie - Women's Toasted Nut S
1.95719E+11,21,70,2,1124520,Roxy Shoreside Oversized Hoodie - Women's Toasted Nut M
1.92291E+11,69,230,1,1131319,Columbia Icy Heights II Mid Length Down Jacket - Women's City Grey XS
1.92291E+11,69,230,1,1131320,Columbia Icy Heights II Mid Length Down Jacket - Women's City Grey S
1.92291E+11,69,230,1,1131322,Columbia Icy Heights II Mid Length Down Jacket - Women's Dark Nocturnal S
1.94894E+11,51,170,2,1138728,Columbia Backslope II Omni-Heat Infinity Insulated Pant - Women's Black S Regular
1.94894E+11,51,170,0,1138729,Columbia Backslope II Omni-Heat Infinity Insulated Pant - Women's Black M Regular
1.94894E+11,51,170,0,1138730,Columbia Backslope II Omni-Heat Infinity Insulated Pant - Women's Black L Regular
8.88556E+11,44.7,149,1,1158134,Obermeyer Malta Pant - Women's Beret 6 Short
8.88556E+11,44.7,149,1,1158139,Obermeyer Malta Pant - Women's Beret 8 Regular
61492009544,14.4,48,7,1159380,Gordini Ergoknit Windstopper Glove - Women's Berry S
61492009551,14.4,48,11,1159381,Gordini Ergoknit Windstopper Glove - Women's Berry M
61492009575,14.4,48,4,1159382,Gordini Ergoknit Windstopper Glove - Women's Berry L
61492009629,14.4,48,8,1159383,Gordini Ergoknit Windstopper Glove - Women's Black L
61492009599,14.4,48,3,1159384,Gordini Ergoknit Windstopper Glove - Women's Black S
1.95964E+11,38.7,129,3,1099325,prAna Layna Printed Jacket - Women's Multi Black Camo XS
1.95964E+11,38.7,129,4,1099326,prAna Layna Printed Jacket - Women's Multi Black Camo S
1.95964E+11,38.7,129,2,1099328,prAna Layna Printed Jacket - Women's Multi Black Camo L
1.93574E+11,26.4,88,2,1144817,Volcom Lived In Lounge Onesie - Women's Bark Brown M
1.93573E+11,26.85,89.5,2,1144820,Volcom Lived In Lounge Onesie - Women's Black XS
1.93573E+11,26.85,89.5,1,1144821,Volcom Lived In Lounge Onesie - Women's Black M
1.9054E+11,22.5,75,1,1129094,Columbia Easygoing Hoodie - Women's Black XS
1.9054E+11,22.5,75,1,1129095,Columbia Easygoing Hoodie - Women's Black S
1.9054E+11,22.5,75,1,1129096,Columbia Easygoing Hoodie - Women's Chalk M
1.93553E+11,22.5,75,1,1133372,Columbia Windgates Fleece Crew - Women's Peach Cloud M
1.93553E+11,22.5,75,1,1133373,Columbia Windgates Fleece Crew - Women's Peach Cloud L
1.93553E+11,22.5,75,1,1133376,Columbia Windgates Fleece Crew - Women's White S
1.93553E+11,22.5,75,1,1133377,Columbia Windgates Fleece Crew - Women's White M
1.94895E+11,66,220,0,1137615,Columbia Mount Bindo II Omni-Heat Infinity Insulated Jacket - Women's Marionberry XL
1.94895E+11,66,220,3,1137616,Columbia Mount Bindo II Omni-Heat Infinity Insulated Jacket - Women's Marionberry S
8.88665E+11,21,70,4,1128373,Columbia Departure Point Jacket - Women's Pulse S
8.88665E+11,21,70,5,1128374,Columbia Departure Point Jacket - Women's Pulse L
8.88665E+11,21,70,2,1128375,Columbia Departure Point Jacket - Women's Pulse XS
8.88665E+11,21,70,5,1128376,Columbia Departure Point Jacket - Women's Pulse M
8.88665E+11,19.5,65,1,1128172,Columbia Titan Pass 1.0 Fleece Jacket - Women's Bluebell XS
